Domain Name,Domain Type,Agency,City,State
www.weinwelt.at,Österreichisches E-Commerce-Gütezeichen,INTERSPAR GmbH,,
www.ipax.at,Österreichisches E-Commerce-Gütezeichen,IPAX OG,,
www.issp.at,Österreichisches E-Commerce-Gütezeichen,issp e.U.,,
www.iv-shop.at,Österreichisches E-Commerce-Gütezeichen,Ivellio-Vellin professionelle IT-Lösungen e.U.,,
www.wineforum.co.at,Österreichisches E-Commerce-Gütezeichen,J. BÖHM KG,,
www.secur-id.net,Österreichisches E-Commerce-Gütezeichen,J. Rosen Consulting KG,,
www.joe24.at,Österreichisches E-Commerce-Gütezeichen,Joe24.at GmbH,,
www.jomafashion.at,Österreichisches E-Commerce-Gütezeichen,JOMA-FASHION CONCEPT STORE,,
www.josbinder.at,Österreichisches E-Commerce-Gütezeichen,Jos. Binder - Ilse Lukavsky GmbH,,
www.jumbograshecke.com,Österreichisches E-Commerce-Gütezeichen,jumbograshecke.com; Reinhard Sperr,,
www.di-life.at,Österreichisches E-Commerce-Gütezeichen,JÜMI Handels GmbH,,
www.kaiserkraft.at,Österreichisches E-Commerce-Gütezeichen,KAISER+KRAFT GmbH,,
shop.stn.an/kaerntnerland-schwarz,Österreichisches E-Commerce-Gütezeichen,Karl Schwarz,,
www.kausan.com,Österreichisches E-Commerce-Gütezeichen,Kausan Dr. Kaufhold GmbH,,
www.kika.at,Österreichisches E-Commerce-Gütezeichen,kika Möbelhandels Ges.m.b.H.,,
www.kinderkistl.com,Österreichisches E-Commerce-Gütezeichen,Kinderkistl Vertriebs- und Vermarktungs GmbH,,
www.rechnungen.at,Österreichisches E-Commerce-Gütezeichen,KingBill GmbH,,
www.schluesselbox.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
www.tkm-madzar.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
www.schluesseltresor.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
www.schluesselmanagement.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
www.schluesseldepot.at,Österreichisches E-Commerce-Gütezeichen,Klaus Madzar,,
www.fahrradfinden.at,Österreichisches E-Commerce-Gütezeichen,Klaus Sever,,
www.groundline.com,Österreichisches E-Commerce-Gütezeichen,Kratochwill Peter,,
www.ktt-heizungen.at,Österreichisches E-Commerce-Gütezeichen,KTT Ing. Mag. Josef Lurger,,
lecturize.com,Österreichisches E-Commerce-Gütezeichen,Lecturize OG,,
www.leder-deluxe.com,Österreichisches E-Commerce-Gütezeichen,Leder-Deluxe,,
www.servusapotheke.at,Österreichisches E-Commerce-Gütezeichen,Lekáreň “Servus Apotheke“ s.r.o. (entspricht GmbH),,
www.mylemon.at,Österreichisches E-Commerce-Gütezeichen,Lemon Technologies GmbH,,
www.leditburn.com,Österreichisches E-Commerce-Gütezeichen,Logirent GmbH,,
www.stiege.com,Österreichisches E-Commerce-Gütezeichen,Lugo Treppenrenovierungen,,
www.msport.at,Österreichisches E-Commerce-Gütezeichen,M-Sport GmbH,,
www.hdaustria.at,Österreichisches E-Commerce-Gütezeichen,M7 Group S.A.,,
www.grillshop.at,Österreichisches E-Commerce-Gütezeichen,Madlener GmbH,,
www.happygrill.de,Österreichisches E-Commerce-Gütezeichen,Madlener GmbH,,
www.sonnenschirme.at,Österreichisches E-Commerce-Gütezeichen,Mag. Martin Gogl,,
www.premium-guards.at,Österreichisches E-Commerce-Gütezeichen,Mag. Petra Müller,,
www.1net.at,Österreichisches E-Commerce-Gütezeichen,Mag. Robert Wrabl,,
www.net-fit.at,Österreichisches E-Commerce-Gütezeichen,Margaritella Fitness & Sporternährung GmbH,,
www.marketagent.com,Österreichisches E-Commerce-Gütezeichen,Marketagent.com online reSEARCH GmbH,,
www.mm-community.com,Österreichisches E-Commerce-Gütezeichen,Mayr-Melnhof Karton Ges. m.b.H.,,
www.meinnupo.at,Österreichisches E-Commerce-Gütezeichen,MCA Handels GmbH,,
www.medewo.com,Österreichisches E-Commerce-Gütezeichen,Medewo GmbH,,
www.mediaforte.eu,Österreichisches E-Commerce-Gütezeichen,Mediaforte GmbH,,
www.megavitalshop.com,Österreichisches E-Commerce-Gütezeichen,Mega Vital Shop e.K.,,
www.sprit.org,Österreichisches E-Commerce-Gütezeichen,MELON Informationstechnologie GmbH.,,
www.mercateo.at,Österreichisches E-Commerce-Gütezeichen,Mercateo Austria GmbH,,
www.briefmarkenshop.at,Österreichisches E-Commerce-Gütezeichen,Merkurphila GmbH,,
www.vds-online.at,Österreichisches E-Commerce-Gütezeichen,Michael Vavra,,
www.Radladen.at,Österreichisches E-Commerce-Gütezeichen,Michi's Radladen,,
www.mietski.com,Österreichisches E-Commerce-Gütezeichen,MIETSKI.COM GMBH,,
www.o-look24.com,Österreichisches E-Commerce-Gütezeichen,Miller Optik GmbH,,
www.mindtake.com,Österreichisches E-Commerce-Gütezeichen,MindTake Research GmbH,,
www.mobilestar.at,Österreichisches E-Commerce-Gütezeichen,Mobilestar OG,,
www.shop.lindinger.at,Österreichisches E-Commerce-Gütezeichen,Modellbau Lindinger GmbH,,
ebags.mondigroup.com,Österreichisches E-Commerce-Gütezeichen,Mondi Industrial Bags GmbH,,
www.lamda.eu,Österreichisches E-Commerce-Gütezeichen,Montares e.U.,,
www.tee-shop.at,Österreichisches E-Commerce-Gütezeichen,Moses; Inhaber Harald Moosbrugger,,
www.mpay24.com,Österreichisches E-Commerce-Gütezeichen,mPAY24 GmbH,,
www.mts-shop.eu,Österreichisches E-Commerce-Gütezeichen,MTS-Shop. EU Modern Systems Trading GmbH,,
www.glueckspilze.at,Österreichisches E-Commerce-Gütezeichen,Mushroom Production Center GmbH,,
www.mymint-shop.com,Österreichisches E-Commerce-Gütezeichen,MY MINT,,
www.myrobotcenter.at,Österreichisches E-Commerce-Gütezeichen,myRobotcenter GmbH,,
www.mytrendyphone.at,Österreichisches E-Commerce-Gütezeichen,MyTrendyPhone.at GmbH,,
www.neckermann.at,Österreichisches E-Commerce-Gütezeichen,neckermann.at GmbH,,
www.neo-lernhilfen.at,Österreichisches E-Commerce-Gütezeichen,neo Lernhilfen OG,,
www.mysterysurfer.at,Österreichisches E-Commerce-Gütezeichen,Networkpro Management Consulting,,
www.neuhold-elektronik.at,Österreichisches E-Commerce-Gütezeichen,Neuhold Elektronik,,
www.neunweine.at,Österreichisches E-Commerce-Gütezeichen,Neun Weine GmbH,,
www.shisha-palace.at,Österreichisches E-Commerce-Gütezeichen,nextro GmbH,,
www.notebooksbilliger.at,Österreichisches E-Commerce-Gütezeichen,Notebooksbilliger.at,,
www.oiat.at,Österreichisches E-Commerce-Gütezeichen,ÖIAT,,
www.ok4you-shop.com,Österreichisches E-Commerce-Gütezeichen,ok4you GmbH,,
www.onlineprinters.com,Österreichisches E-Commerce-Gütezeichen,Onlineprinters GmbH,,
www.opinions.at,Österreichisches E-Commerce-Gütezeichen,OOP Opinions Online Panelservice GmbH,,
www.optimafinanz.at,Österreichisches E-Commerce-Gütezeichen,Optimafinanz Vermögensberatung G.m.b.H,,
www.guetezeichen.at,Österreichisches E-Commerce-Gütezeichen,Österreichisches E-Commerce-Gütezeichen,,
www.onlineshop-oetscher.com,Österreichisches E-Commerce-Gütezeichen,Ötscher Berufskleidung Götzl GmbH,,
www.ottoversand.at,Österreichisches E-Commerce-Gütezeichen,Otto GmbH,,
www.fliegfix.com,Österreichisches E-Commerce-Gütezeichen,Outzeit GmbH,,
www.paladinostore.com,Österreichisches E-Commerce-Gütezeichen,paladino media GmbH,,
www.palmers.at,Österreichisches E-Commerce-Gütezeichen,Palmers Textil AG,,
www.douglas.at,Österreichisches E-Commerce-Gütezeichen,Parfümerie Douglas GmbH,,
www.parkett-agentur.at,Österreichisches E-Commerce-Gütezeichen,parkett-AGENTUR GmbH,,
www.parketthaus.at,Österreichisches E-Commerce-Gütezeichen,Parketthaus Kamper & Kamper GmbH,,
www.paybox.at,Österreichisches E-Commerce-Gütezeichen,paybox Bank AG,,
www.onlineaufladen.at,Österreichisches E-Commerce-Gütezeichen,Paybox Service GmbH,,
www.payolution.com,Österreichisches E-Commerce-Gütezeichen,payolution GmbH,,
www.skrilldirect.com/de,Österreichisches E-Commerce-Gütezeichen,payolution GmbH,,
www.pcp.ch,Österreichisches E-Commerce-Gütezeichen,PCP.CH AG,,
www.gurtband.at,Österreichisches E-Commerce-Gütezeichen,Phebee's Streetwear e.U.,,
shop.phebee.at,Österreichisches E-Commerce-Gütezeichen,Phebee's Streetwear e.U.,,
www.schweisser-shop.at,Österreichisches E-Commerce-Gütezeichen,Pöllhuber Schweiss-Service Austria,,
www.weingrube.com,Österreichisches E-Commerce-Gütezeichen,Pöltl & Partner KG,,
www.shoepping.at/,Österreichisches E-Commerce-Gütezeichen,Post E-Commerce GmbH,,
www.1ashop.at,Österreichisches E-Commerce-Gütezeichen,Primus office products GmbH,,
www.brands4friends.at,Österreichisches E-Commerce-Gütezeichen,Private Sale GmbH,,
www.beamer.at,Österreichisches E-Commerce-Gütezeichen,projektor.at Präsentationstechnik GmbH,,
www.propago.at,Österreichisches E-Commerce-Gütezeichen,Propago e.U. - Benjamin Flatz,,
store.radsportszene.at,Österreichisches E-Commerce-Gütezeichen,proRAD KG,,
www.quelle.at,Österreichisches E-Commerce-Gütezeichen,QUELLE GmbH,,
www.quelle.ch,Österreichisches E-Commerce-Gütezeichen,Quelle Vertriebs AG,,
www.gelaenderladen.at,Österreichisches E-Commerce-Gütezeichen,Räckesbutiken Sweden AB,,
www.rausch-packaging.com,Österreichisches E-Commerce-Gütezeichen,RAUSCH Packaging - ein Bereich der MEDEWO GmbH,,
www.redcoon.at,Österreichisches E-Commerce-Gütezeichen,redcoon GmbH,,
www.reifendiscount.at,Österreichisches E-Commerce-Gütezeichen,REIFF Reifen und Autotechnik GmbH,,
www.restplatzboerse.at,Österreichisches E-Commerce-Gütezeichen,Restplatzbörse Ges.m.b.H.,,
www.snips4you.com,Österreichisches E-Commerce-Gütezeichen,retail X e.U.,,
www.rhomberg-reisen.com,Österreichisches E-Commerce-Gütezeichen,Rhomberg Reisen GmbH,,
www.stafa.at,Österreichisches E-Commerce-Gütezeichen,Robert Chlebec Reisen GmbH.,,
www.rollenbau.at,Österreichisches E-Commerce-Gütezeichen,Rollenbau GmbH,,
www.toyron.com,Österreichisches E-Commerce-Gütezeichen,Ronald Jenny,,
