Domain Name,Domain Type,Agency,City,State
hoxami.com,Österreichisches E-Commerce-Gütezeichen,hoxami.com Marketing & Vertrieb GmbH,,
hungaroinfo.com,Österreichisches E-Commerce-Gütezeichen,Hungarotickets GmbH,,
ihp24.at,Österreichisches E-Commerce-Gütezeichen,IHP Ihr HandelsPartner GmbH & Co KG,,
ihp-fitness.at,Österreichisches E-Commerce-Gütezeichen,IHP - Ihr HandelsPartner GmbH & Co. KG,,
immodirekt.at,Österreichisches E-Commerce-Gütezeichen,AGIRE Handels- und Werbeges. mbH,,
i-move.at,Österreichisches E-Commerce-Gütezeichen,i-move internet GmbH,,
ing-diba.at,Österreichisches E-Commerce-Gütezeichen,Ing DiBa Direktbank Austria,,
interspar.at,Österreichisches E-Commerce-Gütezeichen,INTERSPAR GmbH,,
ipax.at,Österreichisches E-Commerce-Gütezeichen,IPAX OG,,
issp.at,Österreichisches E-Commerce-Gütezeichen,issp e.U.,,
italshop.at,Österreichisches E-Commerce-Gütezeichen,GlaserItalia GmbH,,
iv-shop.at,Österreichisches E-Commerce-Gütezeichen,Ivellio-Vellin professionelle IT-Lösungen e.U.,,
joe24.at,Österreichisches E-Commerce-Gütezeichen,Joe24.at GmbH,,
jomafashion.at,Österreichisches E-Commerce-Gütezeichen,JOMA-FASHION CONCEPT STORE,,
josbinder.at,Österreichisches E-Commerce-Gütezeichen,Jos. Binder - Ilse Lukavsky GmbH,,
jumbograshecke.com,Österreichisches E-Commerce-Gütezeichen,jumbograshecke.com; Reinhard Sperr,,
kaiserkraft.at,Österreichisches E-Commerce-Gütezeichen,KAISER+KRAFT GmbH,,
kausan.com,Österreichisches E-Commerce-Gütezeichen,Kausan Dr. Kaufhold GmbH,,
kettner.com,Österreichisches E-Commerce-Gütezeichen,Eduard Kettner GmbH,,
kika.at,Österreichisches E-Commerce-Gütezeichen,kika Möbelhandels Ges.m.b.H.,,
kinderkistl.com,Österreichisches E-Commerce-Gütezeichen,Kinderkistl Vertriebs- und Vermarktungs GmbH,,
kletterladen.at,Österreichisches E-Commerce-Gütezeichen,tirolclimbing - Thomas Pittl,,
kraker.at,Österreichisches E-Commerce-Gütezeichen,Ing. Arnulf Kraker Eisenwarenhandel,,
kreditdoktor.at,Österreichisches E-Commerce-Gütezeichen,VIEM Holding GmbH,,
ktt-heizungen.at,Österreichisches E-Commerce-Gütezeichen,KTT Ing. Mag. Josef Lurger,,
lamda.eu,Österreichisches E-Commerce-Gütezeichen,Montares e.U.,,
lecturize.com,Österreichisches E-Commerce-Gütezeichen,Lecturize OG,,
leder-deluxe.com,Österreichisches E-Commerce-Gütezeichen,Leder-Deluxe,,
leditburn.com,Österreichisches E-Commerce-Gütezeichen,Logirent GmbH,,
leiner.at,Österreichisches E-Commerce-Gütezeichen,Rudolf Leiner GmbH,,
