Domain Name,Domain Type,Agency,City,State
snips4you.com,Österreichisches E-Commerce-Gütezeichen,retail X e.U.,,
rhomberg-reisen.com,Österreichisches E-Commerce-Gütezeichen,Rhomberg Reisen GmbH,,
stafa.at,Österreichisches E-Commerce-Gütezeichen,Robert Chlebec Reisen GmbH.,,
rollenbau.at,Österreichisches E-Commerce-Gütezeichen,Rollenbau GmbH,,
toyron.com,Österreichisches E-Commerce-Gütezeichen,Ronald Jenny,,
leiner.at,Österreichisches E-Commerce-Gütezeichen,Rudolf Leiner GmbH,,
sbj.de,Österreichisches E-Commerce-Gütezeichen,S.B.J - Sport und Freizeit,,
saferinternet.at,Österreichisches E-Commerce-Gütezeichen,Saferinternet.at,,
sagafoto.at,Österreichisches E-Commerce-Gütezeichen,sagafoto,,
schachversand.at,Österreichisches E-Commerce-Gütezeichen,Schachversand Huber,,
webshop.wko.at,Österreichisches E-Commerce-Gütezeichen,Service GmbH der WKO,,
personalshop.com,Österreichisches E-Commerce-Gütezeichen,Servus Handels und Verlagsgesellschaft m.b.H.,,
futterkisterl-tirol.at,Österreichisches E-Commerce-Gütezeichen,Shoppingworld 4 Animals,,
sieh-an.at,Österreichisches E-Commerce-Gütezeichen,Sieh an! Handelsgesellschaft mbH,,
schutzklick.at,Österreichisches E-Commerce-Gütezeichen,simplesurance GmbH,,
habhunger.at,Österreichisches E-Commerce-Gütezeichen,Sinkofi OG,,
skribo.at,Österreichisches E-Commerce-Gütezeichen,SKRIBO GmbH,,
smarttec.at,Österreichisches E-Commerce-Gütezeichen,SmartTec Vertriebs GmbH,,
shop.sparxsystems.de,Österreichisches E-Commerce-Gütezeichen,SparxSystems Software GmbH,,
sportgigant.at,Österreichisches E-Commerce-Gütezeichen,Sportgigant Lindpointner KG,,
maschinen-gailer.at,Österreichisches E-Commerce-Gütezeichen,Stefan Gailer,,
steiner1888.at,Österreichisches E-Commerce-Gütezeichen,STEINER GmbH & Co KG,,
sterntalerhof.at,Österreichisches E-Commerce-Gütezeichen,Sterntalerhof - Verein für ganzheitliche Lebensbegleitung,,
swkbank.at,Österreichisches E-Commerce-Gütezeichen,Süd-West-Kreditbank Finanzierung GmbH,,
shop.t-mobile.at,Österreichisches E-Commerce-Gütezeichen,T-Mobile Austria GmbH,,
shop.telering.at,Österreichisches E-Commerce-Gütezeichen,T-Mobile Austria GmbH,,
t-stripe.com,Österreichisches E-Commerce-Gütezeichen,T-STRIPE GmbH,,
therme-geinberg.at,Österreichisches E-Commerce-Gütezeichen,TBG Thermenzentrum Geinberg BetriebsgmbH,,
tec-it.com,Österreichisches E-Commerce-Gütezeichen,TEC-IT Datenverarbeitung GmbH,,
gartenxxl.at,Österreichisches E-Commerce-Gütezeichen,Tengelmann E-Stores GmbH,,
mountainbiker.at,Österreichisches E-Commerce-Gütezeichen,THEMA:bike,,
bikepalast.com,Österreichisches E-Commerce-Gütezeichen,THEMA:bike GmbH.,,
dream-shop.at,Österreichisches E-Commerce-Gütezeichen,Thomas Kitzler,,
tirendo.at,Österreichisches E-Commerce-Gütezeichen,Tirendo Holding GmbH,,
kletterladen.at,Österreichisches E-Commerce-Gütezeichen,tirolclimbing - Thomas Pittl,,
tiroled.at,Österreichisches E-Commerce-Gütezeichen,TIROLED LTD. Niederlassung Österreich,,
tonerdumping.at,Österreichisches E-Commerce-Gütezeichen,Tonerdumping Österreich,,
tonershop.at,Österreichisches E-Commerce-Gütezeichen,Tonershop GmbH & Co KG,,
trendsitter.at,Österreichisches E-Commerce-Gütezeichen,Trendsitter GmbH,,
patronen-toner.at,Österreichisches E-Commerce-Gütezeichen,TSH Group KG,,
1-2-fly.at,Österreichisches E-Commerce-Gütezeichen,TUI Austria Holding GmbH,,
